voter_id,name,not_present,present,total,present_rate,not_present_rate,mp_id,party,group,photo,constituency,účast,abbreviation
134,Ondřej Feber,12,58,70,0.8285714285714286,0.17142857142857143,134,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/febero_295.jpg,Karviná,83,ANO a SOCDEM
367,Zdeněk Matušek,3,16,19,0.8421052631578947,0.15789473684210525,367,ČSSD+ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/matusekz_295.jpg,Frýdek-Místek,84,ANO a SOCDEM
206,Petr Vícha,22,90,112,0.8035714285714286,0.19642857142857142,206,ČSSD,ANO a SOCDEM,https://www.senat.cz/images/senatori/vichap_295.jpg,Karviná,80,ANO a SOCDEM
356,Věra Procházková,2,17,19,0.8947368421052632,0.10526315789473684,356,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/prochazkovav_295.jpg,Karlovy Vary,89,ANO a SOCDEM
332,Miroslav Adámek,7,103,110,0.9363636363636364,0.06363636363636363,332,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/adamekm_295.jpg,Šumperk,94,ANO a SOCDEM
305,Ladislav Václavec,18,94,112,0.8392857142857143,0.16071428571428573,305,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/vaclavecl_295.jpg,Bruntál,84,ANO a SOCDEM
63,Jitka Seitlová,12,99,111,0.8918918918918919,0.10810810810810811,63,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/seitlovaj_295.jpg,Přerov,89,KDU-ČSL
366,Ivana Váňová,0,19,19,1.0,0.0,366,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vanovai_295.jpg,Nový Jičín,100,KDU-ČSL
365,Bohuslav Procházka,4,15,19,0.7894736842105263,0.21052631578947367,365,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/prochazkab_295.jpg,Kutná Hora,79,KDU-ČSL
355,Petr Fiala,1,18,19,0.9473684210526315,0.05263157894736842,355,KDU-ČSL+SproK,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/fialap_295.jpg,Ústí nad Orlicí,95,KDU-ČSL
354,Josef Bazala,4,66,70,0.9428571428571428,0.05714285714285714,354,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/bazalaj_295.jpg,Uherské Hradiště,94,KDU-ČSL
347,Josef Klement,5,65,70,0.9285714285714286,0.07142857142857142,347,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/klementj_295.jpg,Žďár nad Sázavou,93,KDU-ČSL
