mp_id,name,constituency_id,party,since,until,photo,link
1,Vladimír Kulhánek,1,ODS,1996-11-23,1998-11-23,/images/senatori/kulhanekv_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=1
1,Vladimír Kulhánek,1,ODS,1998-11-21,2004-11-21,/images/senatori/kulhanekv_295.jpg,https://senat.cz/senatori/index.php?ke_dni=21.02.1999&lng=cz&par_3=1
169,Jan Horník,1,ED,2004-11-13,2010-11-13,/images/senatori/hornikj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.02.2005&lng=cz&par_3=169
169,Jan Horník,1,TOP+STAN,2010-10-23,2016-10-23,/images/senatori/hornikj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.01.2011&lng=cz&par_3=169
169,Jan Horník,1,STAN,2016-10-15,2022-10-15,/images/senatori/hornikj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=15.01.2017&lng=cz&par_3=169
356,Věra Procházková,1,ANO,2022-10-01,2028-10-01,/images/senatori/prochazkovav_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=356
2,Jiří Vyvadil,2,ČSSD,1996-11-23,2000-11-23,/images/senatori/vyvadilj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=2
110,Jan Hadrava,2,US,2000-11-19,2006-11-19,/images/senatori/hadravaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=19.02.2001&lng=cz&par_3=110
190,Pavel Čáslava,2,ODS,2006-10-28,2012-10-28,/images/senatori/caslavap_295.jpg,https://senat.cz/senatori/index.php?ke_dni=28.01.2007&lng=cz&par_3=190
254,Zdeněk Berka,2,ČSSD,2012-10-20,2018-10-20,/images/senatori/berkaz_295.jpg,https://senat.cz/senatori/index.php?ke_dni=20.01.2013&lng=cz&par_3=254
314,Miroslav Balatka,2,STAN,2018-10-13,2024-10-13,/images/senatori/balatkam_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.01.2019&lng=cz&par_3=314
3,Peter Morávek,3,ČSSD,1996-11-23,2002-11-23,/images/senatori/moravekp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=3
144,Ladislav Macák,3,ČSSD,2002-11-02,2008-11-02,/images/senatori/macakl_295.jpg,https://senat.cz/senatori/index.php?ke_dni=02.02.2003&lng=cz&par_3=144
211,Miroslav Nenutil,3,ČSSD,2008-10-25,2014-10-25,/images/senatori/nenutilm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=25.01.2009&lng=cz&par_3=211
211,Miroslav Nenutil,3,ČSSD,2014-10-18,2020-10-18,/images/senatori/nenutilm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=18.01.2015&lng=cz&par_3=211
336,Miroslav Plevný,3,STAN,2020-10-10,2026-10-10,/images/senatori/plevnym_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=336
4,Richard Falbr,4,NK,1996-11-23,1998-11-23,/images/senatori/falbrr_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=4
4,Richard Falbr,4,ČSSD,1998-11-21,2004-07-20,/images/senatori/falbrr_295.jpg,https://senat.cz/senatori/index.php?ke_dni=21.02.1999&lng=cz&par_3=4
170,Vlastimil Balín,4,KSČM,2004-11-13,2010-11-13,/images/senatori/balinv_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.02.2005&lng=cz&par_3=170
233,Alena Dernerová,4,S.cz,2010-10-23,2016-10-23,/images/senatori/dernerovaa_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.01.2011&lng=cz&par_3=233
233,Alena Dernerová,4,SD-SN,2017-01-28,2022-10-15,/images/senatori/dernerovaa_295.jpg,https://senat.cz/senatori/index.php?ke_dni=28.04.2017&lng=cz&par_3=233
357,Jan Paparega,4,ProMOST,2022-10-01,2028-10-01,/images/senatori/paparegaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=357
5,Ladislav Drlý,5,KSČM,1996-11-23,2000-11-23,/images/senatori/drlyl_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=5
